level, Riddle, a. , b., c., Answer,,,
easy, What has to be broken before you can use it?, A mirror, An egg, A pencil, b,,,
easy, What month of the year has 28 days?, February, April, All of them, c,,,
easy, What is full of holes but still holds water?, A sponge, A net, A bucket, a,,,
easy, What has four wheels and flies?, An airplane, A race car, A garbage truck, c,,,
easy, What has a bottom at the top?, A hat, A leg, A chair, b,,,
medium," What can you hear, but not see or touch, even though you control it?",Your voice,The wind, An echo, a,"",,
medium," I fly without wings, I cry without eyes. Wherever I go  darkness follows me. What am I?",A cloud,A shadow, A storm, c,,,
medium," The more you take,  the more you leave behind. What am I?",Time, Memories, Footsteps, c,"",,
medium," I have cities but no houses, forests but no trees, and rivers but no water. What am I?",A puszzle,A map, A painting, b,"","",
medium, What flowers are kissable?, Roses, Tulips, Peonies, b,,,
hard," I'm clean when I'm black, Dirty when white; Get too close, And you might sneeze. What am I?",A chalkboard,A newspaper, Ashes, a, ,,
hard," A very pretty thing I am , fluttering in the pale-blue sky. Delicate fragile on the wing, indeed I am a pretty thing. What am I?",A feather,A snowflake, A butterfly, c,"","",
hard," Tool of thief,  toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed. What am I?",A mask,A shadow,A veil, a,"","",
hard," It’s been around for millions of years,  but is never more than a month old. What is it?",A tree,The moon, A comet, b,,,
hard," They come out at night without being called, and are lost in the day without being stolen. What are they?",Fireflies, Dreams,Stars, c,,,
,,,,,,,,
